fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20240505 174356	1061	301494	dart	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	322	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100069	0.26299137563962	0.697757026140569	533	468	13522	60918677.6611694	21
20240505 192854	1061	301494	dart	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	244	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100069	0.23866716061821	0.698617591659104	2041	1401	11083	60871779.6101949	22
20240505 214202	1061	301494	dart	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	305	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100069	0.26664498204831	0.705788101851475	1896	412	11257	60459944.5277361	23
20240505 234643	1061	301494	dart	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	331	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100069	0.172068745301247	0.699371088873621	1169	854	11666	61136092.9535232	24
20240506 013645	1061	301494	dart	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2545	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100069	0.177877991640338	0.708588245952352	679	1166	15198	59860752.6236882	25
20240506 033121	1061	301494	dart	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	88	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100069	0.281995861497302	0.656764099184373	1799	929	11207	60759329.8350825	26
20240506 054453	1061	301494	dart	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2756	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100069	0.0105186454467385	0.710354430989171	690	731	13605	61109077.9610195	27
20240506 074651	1061	301494	dart	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3752	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100069	0.0172240394396646	0.50030462625429	899	908	14646	57797652.173913	28
20240506 094847	1061	301494	dart	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	381	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100069	0.239287939061266	0.695364345643689	1613	816	12806	60986137.9310345	29
20240506 114331	1061	301494	dart	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	450	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100069	0.268943732316767	0.692827863354025	1592	982	10951	60875515.7421289	30
20240506 131813	1061	301494	dart	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2755	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100069	0.0390182484598351	0.856226892413256	240	1638	13006	60171625.1874063	31
20240506 153341	1061	301494	dart	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	429	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100069	0.202617906784597	0.698123849431189	1720	564	11265	60145989.5052474	32
20240506 172427	1061	301494	dart	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	173	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100069	0.368657510146472	0.707668144022784	2009	906	12470	61804212.8935532	33
20240506 192420	1061	301494	dart	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	650	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100069	0.0896188616478108	0.855170609194788	370	1001	12182	61094839.5802099	34
20240506 213026	1061	301494	dart	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1679	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100069	0.0453782778909837	0.700110306022745	1964	909	13485	61249647.6761619	35
20240506 231455	1061	301494	dart	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	245	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100069	0.446253286249964	0.714647721936717	1606	907	14042	60157238.3808096	36
20240507 012237	1061	301494	dart	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	576	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100069	0.326503731549544	0.700534656252708	1865	913	10874	60714491.7541229	37
20240507 032301	1061	301494	dart	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	408	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100069	0.352453474655179	0.835262130015664	2048	1607	13726	60565508.2458771	38
20240507 055550	1061	301494	dart	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	4883	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100069	0.0101277290392276	0.832823712444555	596	860	11423	59882364.3178411	39
20240507 081904	1061	301494	dart	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	931	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100069	0.140750844407367	0.689622165085139	1505	1038	12553	60374883.0584708	40
20240507 102941	1061	301494	dart	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	133	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100069	0.280517437196863	0.711396578323955	1863	1314	12550	61313478.2608696	41
20240507 123613	1061	301494	dart	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	210	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100069	0.30997450005059	0.720604546242544	2041	1415	12824	61105571.2143928	42
20240507 144045	1061	301494	dart	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	169	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100069	0.317905419382655	0.718435650897554	2001	1403	12046	61184938.5307346	43
20240507 163701	1061	301494	dart	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2246	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100069	0.0206017229913984	0.875382642864261	653	1148	12223	61210820.089955	44
