fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20240504 171514	1061	301494	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1871	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100069	0.0798233079761157	0.577526004254837	9	568	13139	59916853.0734633	24
20240504 173632	1061	301494	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3393	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100069	0.0102007993393698	0.500117697924429	526	2000	12316	62366062.9685157	25
20240504 174252	1061	301494	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	14	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100069	0.0100299860604359	0.514183304414446	11	1991	12668	53391982.0089955	26
20240504 175227	1061	301494	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	838	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100069	0.0100451298648659	0.589914078432168	1145	504	13180	62024077.9610195	27
20240504 180205	1061	301494	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	835	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100069	0.0100600020237195	0.593102928437958	1157	513	12799	61638142.4287856	28
20240504 181402	1061	301494	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1235	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100069	0.0100365677190054	0.592116598447986	1141	522	13412	61167898.0509745	29
20240504 182642	1061	301494	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1172	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100069	0.0100648059649269	0.598654702854515	1140	410	13184	60980113.9430285	30
20240504 183548	1061	301494	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	816	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100069	0.0100371366173399	0.599090793910656	1118	484	12902	61303895.0524738	31
20240504 184454	1061	301494	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	850	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100069	0.0101318998318466	0.601535639573224	1100	490	12986	61450335.832084	32
20240504 185800	1061	301494	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1590	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100069	0.0104176362848973	0.601936515728849	1087	501	14304	60321343.3283358	33
20240504 190407	1061	301494	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	531	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100069	0.0220231410104567	0.59929954476378	1069	512	13670	61948740.6296852	34
20240504 191116	1061	301494	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	786	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100069	0.0282900898134787	0.60207127120382	1055	531	11729	60286343.3283358	35
20240504 191853	1061	301494	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	582	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100069	0.0106071164003151	0.596644133562142	1054	517	12726	61678251.874063	36
20240504 192940	1061	301494	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1135	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100069	0.0107114001239126	0.59750748294011	1047	537	11882	61840536.7316342	37
20240504 194026	1061	301494	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1113	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100069	0.0100583904010117	0.600488356650302	1035	549	12976	62367532.2338831	38
20240504 195208	1061	301494	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	798	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100069	0.0101628879550861	0.603922923851388	1040	590	12045	61316214.3928036	39
20240504 200036	1061	301494	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	896	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100069	0.0101805140283697	0.604619020967106	1018	586	12417	62146301.3493253	40
20240504 201710	1061	301494	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2506	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100069	0.0101294388698683	0.609419970472845	1011	613	13920	60389805.0974513	41
20240504 202126	1061	301494	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	254	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100069	0.0257776470541817	0.598635991864538	1000	558	13639	61641620.6896552	42
20240504 202542	1061	301494	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	294	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100069	0.0322594435392259	0.600241644454925	990	573	10990	61681574.2128936	43
20240504 203218	1061	301494	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	772	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100069	0.0378562810257527	0.601474398050527	968	584	12364	59370188.9055472	44
20240504 204056	1061	301494	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	703	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100069	0.0100008832785753	0.586050413304246	1001	477	12336	61725793.1034483	45
20240504 204833	1061	301494	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	500	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100069	0.0100010123557515	0.586812704836549	991	452	13590	61970809.5952024	46
20240504 205851	1061	301494	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	804	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100069	0.0100601136591217	0.581302667196737	980	393	11485	61245089.9550225	47
20240504 211606	1061	301494	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2058	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100069	0.0100311055657445	0.586755391962905	994	458	14315	59544175.4122939	48
20240504 212620	1061	301494	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1238	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100069	0.0100546641784765	0.593601794664055	1036	699	11944	61367820.089955	49
20240504 213639	1061	301494	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1307	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100069	0.0100115535425938	0.593996669835046	1031	700	12540	61352833.5832084	50
20240504 214537	1061	301494	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1044	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100069	0.0100152393076641	0.598811952713988	1035	667	12726	61407367.3163418	51
20240504 215438	1061	301494	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1044	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100069	0.0100152393076641	0.598811952713988	1035	667	12726	61407367.3163418	52
20240504 220516	1061	301494	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1409	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100069	0.0100366570382197	0.596326598702128	1046	732	13165	61742601.1994003	53
20240504 221257	1061	301494	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1534	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100069	0.0100791528931809	0.688250939944839	1436	1999	10671	62252727.1364318	54
20240504 222402	1061	301494	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2183	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100069	0.0101781597841671	0.588102013408335	1901	2000	11586	62210755.6221889	55
20240504 223459	1061	301494	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2343	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100069	0.0100082126573174	0.605541794651018	1564	1999	11650	62791229.3853073	56
20240504 225841	1061	301494	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3424	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100069	0.010010711344899	0.526737152184099	1413	2000	12035	62026754.1229385	57
20240504 230336	1061	301494	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	989	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100069	0.0760282484268153	0.693150795360693	1085	2000	13013	58813713.6431784	58
20240504 231954	1061	301494	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2440	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100069	0.0100089624354022	0.500939380017067	2020	1995	11451	62575155.922039	59
20240504 233606	1061	301494	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2401	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100069	0.0100081682235775	0.504257746947108	2022	1997	11408	61840947.5262369	60
20240504 235247	1061	301494	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2472	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100069	0.0100182859972733	0.553036768457469	1644	1695	10458	62128548.7256372	61
20240505 000853	1061	301494	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2412	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100069	0.0100855798118911	0.551777931597166	1657	2000	12505	62202121.4392804	62
20240505 002555	1061	301494	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2588	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100069	0.01006307738523	0.500108873103205	1568	1999	10633	62522469.2653673	63
20240505 004255	1061	301494	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2588	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100069	0.01006307738523	0.500108873103205	1568	1999	10633	62522469.2653673	64
20240505 005809	1061	301494	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2226	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100069	0.0100772756499653	0.5001885365823	1528	2000	10941	62109353.8230885	65
20240505 011120	1061	301494	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3150	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100069	0.0101733489650003	0.893929208761044	2038	1990	12131	62374976.011994	66
