fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20240505 155232	1062	301494	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	186	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100069	0.407730382114485	0.801753421852996	1306	1600	18107	50111983.5082459	1
20240505 155443	1062	301494	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	128	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100069	0.21383096977893	0.616823368717278	1256	1255	13363	56266562.2188906	2
20240505 155647	1062	301494	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	111	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100069	0.318831984543254	0.841267799192272	1489	1309	16314	52908434.7826087	3
20240505 155831	1062	301494	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	111	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100069	0.433485053332672	0.756361532979225	438	1745	16116	52958326.8365817	4
20240505 160021	1062	301494	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	11	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100069	0.170206661928209	0.708926016198614	769	640	15280	56795922.0389805	5
20240505 160242	1062	301494	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	109	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100069	0.0457193363656399	0.871201785452424	589	942	16504	52500113.9430285	6
20240505 160437	1062	301494	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	82	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100069	0.267959243141498	0.698062276886067	1705	913	13583	54656697.1514243	7
20240505 160839	1062	301494	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	93	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100069	0.12978480622469	0.547170882249843	995	544	13735	57105344.8275862	8
20240505 161145	1062	301494	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	583	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100069	0.376464876672618	0.875122337974712	142	116	14128	46000587.7061469	9
20240505 161336	1062	301494	rf	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	126	1	1	1	FALSE	1	0.1	50	0.5	FALSE	100069	0.493088420778051	0.650729465531588	1144	1829	14328	54475430.2848576	10
